3.578750,3.749832,guessZero
0.784637,0.982414,PLSA,2,1,true
0.784637,0.982414,PLSA,2,1,false
0.784644,0.982407,PLSA,2,3,true
0.784648,0.982434,PLSA,2,3,false
0.784619,0.982387,PLSA,2,5,true
0.784633,0.982409,PLSA,2,10,true
0.784634,0.982402,PLSA,2,5,false
0.784613,0.982378,PLSA,2,10,false
0.784637,0.982414,PLSA,5,1,true
0.716335,0.908248,slopeOne
0.784637,0.982414,PLSA,5,1,false
0.784850,0.982507,PLSA,5,3,true
0.784755,0.982412,PLSA,5,3,false
0.784699,0.982307,PLSA,5,5,true
0.784707,0.982391,PLSA,5,5,false
0.784618,0.982242,PLSA,5,10,true
0.784694,0.982327,PLSA,5,10,false
0.784637,0.982414,PLSA,10,1,true
0.784637,0.982414,PLSA,10,1,false
0.782905,0.979200,PLSA,10,3,true
0.788593,0.985708,PLSA,10,3,false
0.790465,0.986661,PLSA,10,5,true
0.784637,0.982414,PLSA,15,1,true
0.784710,0.980427,PLSA,10,5,false
0.784637,0.982414,PLSA,15,1,false
0.737598,0.961547,itemBasedCF,CosineSimilarity,5
0.754199,0.997656,itemBasedCF,CosineSimilarity,3
0.828460,1.186904,itemBasedCF,CosineSimilarity,1
0.729103,0.941360,itemBasedCF,CosineSimilarity,10
0.815920,1.167848,itemBasedCF,CorrelationSimilarity,1
0.731931,0.940286,itemBasedCF,CosineSimilarity,20
0.728939,0.965898,itemBasedCF,AdjustedCosineSimilarity,3
0.712354,0.906821,itemBasedCF,CorrelationSimilarity,20
0.791385,0.987614,PLSA,10,10,true
0.738821,0.969319,itemBasedCF,CorrelationSimilarity,3
0.801220,1.154638,itemBasedCF,AdjustedCosineSimilarity,1
0.707721,0.905022,itemBasedCF,CorrelationSimilarity,10
0.719121,0.928901,itemBasedCF,CorrelationSimilarity,5
0.708785,0.932692,itemBasedCF,AdjustedCosineSimilarity,10
0.711098,0.931889,itemBasedCF,AdjustedCosineSimilarity,5
0.750878,1.031336,itemBasedCF,AdjustedCosineSimilarity,20
0.788959,0.985142,PLSA,10,10,false
0.781158,0.975907,PLSA,15,3,true
0.778904,0.973289,PLSA,15,3,false
0.787243,0.981169,PLSA,15,5,true
0.793784,0.988782,PLSA,15,5,false
0.784637,0.982414,PLSA,25,1,false
0.784637,0.982414,PLSA,25,1,true
0.800613,0.993054,PLSA,15,10,true
0.798724,0.991601,PLSA,15,10,false
0.757292,0.948775,PLSA,25,3,true
0.764015,0.955915,PLSA,25,3,false
0.784637,0.982414,PLSA,40,1,true
0.784637,0.982414,PLSA,40,1,false
0.811706,1.005185,PLSA,25,5,true
0.800765,0.992791,PLSA,25,5,false
0.866922,1.058946,PLSA,25,10,true
0.880275,1.076888,PLSA,25,10,false
0.760505,0.951093,PLSA,40,3,false
0.757770,0.947463,PLSA,40,3,true
0.784637,0.982414,PLSA,60,1,true
0.784637,0.982414,PLSA,60,1,false
0.860046,1.047901,PLSA,40,5,true
0.841802,1.031550,PLSA,40,5,false
0.784637,0.982414,PLSA,80,1,true
0.784637,0.982414,PLSA,80,1,false
0.761381,0.950191,PLSA,60,3,false
0.931788,1.121805,PLSA,40,10,false
0.759225,0.947691,PLSA,60,3,true
0.941805,1.132454,PLSA,40,10,true
0.887519,1.076718,PLSA,60,5,true
0.850495,1.042136,PLSA,60,5,false
0.768886,0.958444,PLSA,80,3,true
0.770246,0.959514,PLSA,80,3,false
0.932979,1.123211,PLSA,60,10,false
0.933708,1.122644,PLSA,60,10,true
0.868625,1.058710,PLSA,80,5,true
0.869037,1.061575,PLSA,80,5,false
0.947452,1.136036,PLSA,80,10,false
0.930952,1.120586,PLSA,80,10,true
